,,,Gap,,,,,Runtime,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon_original,upsilon_reform,spec,ddgfact,ddgfact_plus,upsilon_original,upsilon_reform,ls,spectral
63,2,1,0.285520182,0.216724372,0.092028944,0.092029988,1.454679685,9.1198521,0.7740952,33.0446631,11.1718441,1.2829317,0.0201803
63,3,1,0.405593488,0.310368788,0.130690581,0.130692537,1.193666461,0.0483009,0.0278858,29.8402025,5.9813737,0.1872793,0.000376
63,4,1,0.540397342,0.429798974,0.232340726,0.232343009,1.06511614,0.0385979,0.0281292,33.3268842,11.7636465,0.1463107,0.0001516
63,5,1,0.605385104,0.482686308,0.287893408,0.287911443,0.940316169,0.0533534,0.0286558,25.1838958,15.6236855,0.1519156,0.0001697
63,6,1,0.681585582,0.549001119,0.362551888,0.362560209,0.866023002,0.0845151,0.0317674,33.3957146,19.2347985,0.1575986,0.0001675
63,7,1,0.740194132,0.600072119,0.409983732,0.409989981,0.793920377,0.0781356,0.0330872,26.7854995,8.0120312,0.1695119,0.000196
63,8,1,0.790593687,0.644221771,0.450154155,0.450171672,0.730755928,0.0646043,0.0309437,28.6010666,8.2442882,0.1875597,0.0001644
63,9,1,0.841102817,0.689428615,0.491302169,0.491295588,0.680732356,0.0702097,0.0291478,29.9481357,11.5580756,0.6737726,0.0001667
63,10,1,0.892610018,0.736443949,0.535506147,0.535509705,0.641453315,0.0706183,0.0247907,27.1397048,6.7885395,0.2615558,0.0001686
63,11,1,0.947228027,0.787231441,0.583738955,0.583746278,0.613078436,0.0497839,0.0310393,29.0546657,16.2657802,0.3092985,0.0001759
63,12,1,0.995024085,0.831727528,0.625296408,0.625319844,0.584374131,0.0541132,0.023709,29.1992101,21.149335,0.2805877,0.0001737
