,,,Gap,,,,,,Runtime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_bfgs_psideriv,upsilon_lbfgsb,spec,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_bfgs_psideriv,upsilon_lbfgsb,local_search,spec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,1,0.681585582,0.549001119,0.545723293,0.362555021,0.549001471,0.866023002,9.2683245,0.7662076,11.4958771,35.7628949,4.7134492,1.3172465,0.0217292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7,2,1.117300199,0.886575868,0.62148204,0.580193567,0.886576555,1.711838414,0.1016249,0.0326679,21.2513072,30.6351606,4.2155561,0.1847376,0.0001795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,8,3,1.560676524,1.217037015,0.928125971,0.796924002,1.217038176,2.761556177,0.0593973,0.0259431,14.3818969,33.5063885,4.4034121,0.2414784,0.0001704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9,4,1.826132582,1.380874472,1.156541216,0.915333351,1.380875958,3.238742315,0.0656973,0.029293,22.9221576,43.8277251,4.2040781,0.231923,0.0001789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10,5,2.008967177,1.488984694,1.130147484,0.999070263,1.488986428,3.704588859,0.0776882,0.0310634,25.9689001,34.7828752,1.6714295,0.2420138,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,11,6,2.173849583,1.576762372,1.223576638,1.064898957,1.576764391,4.104969714,0.0983625,0.0324961,28.2278508,71.6129567,4.0015624,0.2615159,0.0001593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12,7,2.326996385,1.654137414,1.224939886,1.127896471,1.654139673,4.380564924,0.0932391,0.039405,49.2693125,97.251673,14.1464935,0.28,0.0001578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,13,8,2.436326835,1.697526079,1.264960217,1.159035748,1.697528544,4.651988431,0.118047,0.0403116,54.3160047,198.9940237,29.1357312,0.3614303,0.0001543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,14,9,2.537396179,1.742768282,1.361201164,1.192600284,1.742770755,4.878523909,0.1128284,0.0391764,54.8074801,200.3453649,128.4408057,0.3613248,0.000167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,15,10,2.601800076,1.756880864,1.328799575,1.191337923,1.756883679,5.015652682,0.1383715,0.0457237,58.2694702,162.204516,25.3846043,0.424182,0.0001597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
