data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,true,0.4601117884412034,1.0408410133611525,7219.2526488,7200.008000135422,6809.2923832000515,6816.735245900276,0.0,96.5998297000113,7117.574508501008,0.5407818000001339,19.317971400013096,165.92820709999629,11.282993000019179,11.282993000019179,987212,2399950,707935,3107885,1064547,701806,false,true,1.4968786002372596,1.064509362682565,0.7787331280160785,-22.96812911013585,-22.508017321694645,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,1,true,0.3409056998401141,0.7829291131397937,7204.382119,7200.026999950409,660.3147334000008,660.3147334000008,5407.023570200071,25.70323110000172,6139.117317600018,0.1286587000001324,3.9845901000063337,42.277031199997495,1046.7514514999914,1046.7514514999914,272419,186064,313885,499949,319999,54641,false,true,9.095798817237164,0.8117795817610088,0.5000219900477951,-22.96812911013585,-22.627223410295734,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,2,true,0.26453528752011124,0.7829291131397937,7200.1909357,7200.013000011444,2001.1071711000325,2001.1071711000325,3766.6635848000137,36.55879440000513,5872.4092872000365,0.1824375000000382,6.199697900019799,57.70591609999925,1301.1752670000242,1301.1752670000242,351831,297731,346433,644164,420513,180089,false,true,8.605368770012157,0.8514777423127587,0.6182472300335391,-22.96812911013585,-22.703593822615737,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,4,true,0.23949390981009344,0.7829291131397937,7200.2003454,7200.010999917984,3129.704308299994,3129.704308299994,2417.113883399991,47.33763470000352,5682.299227200364,0.23921570000003176,8.293979900027496,72.67211309999922,1483.2090609999968,1483.2090609999968,416973,362955,370784,733739,518577,282532,false,true,8.781674488961041,0.8578565084379298,0.5534318765985553,-22.96812911013585,-22.728635200325755,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,6,true,0.2719628346201759,0.7829291131397937,7200.2050722,7200.036000013351,3789.0120939000553,3789.0120939000553,1625.44182220003,55.300205099996106,5572.368669300091,0.2590053999999684,9.79875670001036,83.63888089999271,1588.2293623000282,1588.2293623000282,450281,376203,391726,767929,569703,334231,false,true,7.399399857171375,0.8725752333166403,0.524055069504687,-22.96812911013585,-22.696166275515672,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,8,true,0.24394655282779,0.7829291131397937,7200.2240903,7200.010999917984,4209.934523399991,4209.934523399991,1131.6811783999917,55.400402200000094,5508.134652900385,0.26757789999992265,10.13970279999906,89.22801769998706,1651.6955543999727,1651.6955543999727,462707,389157,364759,753916,592399,358693,false,true,1.9127039271833368,0.8717706481279065,0.4593829665842186,-22.96812911013585,-22.72418255730806,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,10,true,0.22880703759231835,0.7829291131397937,7200.2178744,7200.005000114441,3926.1477185999033,3926.1477185999033,1457.1039952000053,56.15541709999395,5545.582720600263,0.299640399999817,11.8075115999958,84.80838389999312,1612.2431116999758,1612.2431116999758,457854,360880,438870,799750,587505,341409,false,true,10.565251414579599,0.8600198971043608,0.5083097739299838,-22.96812911013585,-22.73932207254353,-22.185199996996054
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.12448621642603186,0.7305753746071666,7200.2128136,7200.008000135422,537.201321200005,537.201321200005,5297.94864670009,31.674834999998907,5916.664783500235,0.18774029999985922,5.99458660001676,46.50324129999756,1261.1816912000097,1261.1816912000097,284086,108907,272306,381213,450591,105524,false,true,1.132218434460107,0.6899264005634306,0.4245414730066699,-22.96812911013585,-22.843642893709816,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,2,true,0.05651180701876868,0.7305753746071666,7200.1673695,7200.003999948502,2053.9565595999734,2053.9565595999734,3522.388526199974,48.43482360000311,5695.42158200012,0.26810590000002166,9.633536500003643,60.55423059999691,1470.923201000023,1470.923201000023,360185,209403,342567,551970,587437,254490,false,true,1.2836897220822223,0.6928840061272913,0.3874285362186001,-22.96812911013585,-22.91161730311708,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,4,true,0.08042499181983231,0.7305753746071666,7200.1701924,7200.003999948502,3150.631083700035,3150.631083700035,2292.8290253999553,55.10291449999562,5586.939350600248,0.30715749999989256,10.191831600001592,73.53935129999516,1574.9905969999968,1574.9905969999968,407980,254165,367996,622161,636671,323539,false,true,1.3385632846300979,0.7192499142032317,0.4424268988647029,-22.96812911013585,-22.887704118316016,-22.23755373552868
