data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,true,0.4556500922572333,1.0408410133611525,7205.2758062,7200.006999969482,6778.5841710003615,6787.4353853003895,0.0,104.49229170000743,7111.317400200275,0.4971671999999458,22.1146774001107,178.46108149999054,10.526223600004359,10.526223600004359,1010727,2490229,737205,3227434,1092895,723657,false,true,1.4968786002372596,1.062393585405228,0.7787331280160785,-22.96812911013585,-22.512479017878615,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,1,true,0.36849025981506855,0.7377010672541111,7204.6589802,7200.263000011444,94.96771900000006,94.96771900000006,6731.628660500025,2.802533399999977,7079.951860699989,0.0189776999999994,0.600587499999958,249.85981849999922,120.85535939999934,120.85535939999934,26763,5358,37353,42711,28355,1290,false,true,4.228388624965362,0.6854596071350794,0.3824812438969154,-22.96812911013585,-22.59963885032078,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,2,true,0.3229107703212293,0.7377010672541111,7200.9407704,7200.53400015831,359.11861860000084,359.11861860000084,6283.7100944,5.081463200000058,6994.590465300008,0.030746900000000105,0.9761432000000687,344.6684097999977,200.78682529999872,200.78682529999872,43714,12900,43175,56075,46665,12240,false,true,4.240599935037629,0.7225262334685215,0.3753104159836447,-22.96812911013585,-22.64521833981462,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,4,true,0.3003499225773574,0.7377010672541111,7200.4584878,7200.017999887466,666.8482470999937,666.8482470999937,5724.188384899962,8.490916700000167,6893.94100070012,0.043262400000000485,1.5407716000001581,490.84187770000136,298.4701890999973,298.4701890999973,65802,28977,64740,93717,71927,28164,false,true,4.65768695516045,0.7442074646726545,0.38168636184116167,-22.96812911013585,-22.66777918755849,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,6,true,0.3003803447235356,0.7377010672541111,7200.4557988,7200.015000104904,929.9179090999919,929.9179090999919,5254.42281610003,10.405410000000034,6811.55016169995,0.05412630000000058,1.85955560000017,611.9011880999988,378.8869594999998,378.8869594999998,83972,42190,83716,125906,93233,41504,false,true,5.0259790946522,0.7659364422555823,0.49070060997592435,-22.96812911013585,-22.667748765412313,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,8,true,0.3089032441582269,0.7377010672541111,7200.5981654,7200.148000001907,1071.365466599987,1071.365466599987,5007.774022299988,11.62797500000006,6765.6140049001415,0.05919280000000138,2.25246370000029,669.4958096999891,423.72427109999614,423.72427109999614,92640,43006,99739,142745,102997,47462,false,true,1.2027227275868917,0.7854755764210521,0.487310418855742,-22.96812911013585,-22.65922586597762,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,10,true,0.3189059045595428,0.7377010672541111,7200.9655478,7200.5,1316.5828486999824,1316.5828486999824,4557.610088399994,13.81320230000006,6681.495343700063,0.06925520000000619,3.6689253000006197,786.0147760000008,505.18063740000065,505.18063740000065,111464,63893,111827,175720,123147,59712,false,true,4.418836563406636,0.8096614951568036,0.38067835252444837,-22.96812911013585,-22.649223205576305,-22.230428042881737
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,1,true,0.41337050246088936,0.7402500173791715,7201.7282473,7200.835999965668,36.86708719999994,36.86708719999994,6980.827876599983,1.2945016000000096,7135.93665880001,0.007718000000000155,0.24383439999999038,116.67251399999984,64.23095709999986,64.23095709999986,11473,135,12289,12424,11851,312,false,true,0.9095053942246167,0.6898296828013825,NaN,-22.968129110135852,-22.554758607674962,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,2,true,0.3770839252321103,0.7402500173791715,7201.267905,7200.463999986649,149.99341550000014,149.99341550000014,6786.6728570999885,2.3046331000000007,7100.6693912999635,0.01337569999999964,0.4482834999999377,160.84404579999986,98.12851540000001,98.12851540000001,21157,747,15789,16536,21971,5074,false,true,1.0951027509844238,0.7446232012234446,NaN,-22.968129110135852,-22.59104518490374,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,4,true,0.36188860214264906,0.740250017379168,7201.1028011,7200.226999998093,307.8850643000005,307.8850643000005,6521.192570199992,3.7176295999999693,7050.706741300002,0.01966749999999954,0.6969555999999949,216.35118789999967,146.70240529999984,146.70240529999984,32250,4043,24345,28388,33953,11868,false,true,1.1729166711114303,0.7608765269536127,0.4805801255471671,-22.96812911013585,-22.6062405079932,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,6,true,0.3527810210384459,0.740250017379168,7200.853993,7200.06200003624,456.1960570999994,456.1960570999994,6260.559312099974,5.043204200000065,7004.237465099931,0.025788499999999975,0.84277650000002,280.20390649999945,191.76291790000053,191.76291790000053,43663,7950,35164,43114,46563,18594,false,true,1.1536566058273081,0.7788447786341683,0.48161401385919334,-22.96812911013585,-22.615348089097402,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,8,true,0.3698321368297215,0.740250017379168,7201.1952127,7200.335000038147,511.4992153999985,511.4992153999985,6170.614087000016,5.534760200000123,6988.1067734000235,0.026971599999999873,0.9901380000000302,297.8491007000024,207.76924010000033,207.76924010000033,46166,6431,44048,50479,49151,20670,false,true,1.195102481954656,0.807451721971855,0.42486558000599217,-22.96812911013585,-22.598296973306127,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,10,true,0.36204364058968963,0.740250017379168,7201.6741845,7200.801999807358,757.3916823000026,757.3916823000026,5716.108556800011,8.013836100000233,6902.462034699948,0.03890480000000093,1.4714410000002007,417.2016414999987,291.6809123999995,291.6809123999995,66178,18000,57240,75240,71293,31998,false,true,1.2069852163778734,0.8240864056819378,0.4068173911730071,-22.96812911013585,-22.60608546954616,-22.22787909275668
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.34005330341245354,0.7194113032514053,7200.7188852,7200.281000137329,98.0440476999998,98.0440476999998,6749.990613099976,2.7843722000000084,7078.124243300001,0.020175999999999517,0.5719871999999393,226.67718639999777,119.13968579999965,119.13968579999965,27283,4663,38908,43571,29493,1579,false,true,0.9341299333493254,0.647062971387962,0.37223671137432746,-22.96812911013585,-22.628075806723395,-22.248717806884443
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,2,true,0.3048379154077807,0.7194113032514053,7200.8383085,7200.4329998493195,368.16747289999955,368.16747289999955,6317.70848260004,5.183121500000039,7001.223821799998,0.03171650000000015,1.0278336000000954,308.18854849999985,193.99429819999997,193.99429819999997,44015,9124,44664,53788,47309,11861,false,true,1.0841896974105047,0.6956443393207798,0.3765830687536216,-22.96812911013585,-22.663291194728068,-22.248717806884443
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,4,true,0.2875224457867809,0.7194113032514053,7200.4354767,7200.024999856949,669.1692840000003,669.1692840000003,5780.366191699973,7.799306700000216,6907.395201000043,0.04382480000000041,1.4384618000001952,446.73198160000175,285.2166389999996,285.2166389999996,66222,18833,64761,83594,72875,26916,false,true,1.1781925895507008,0.7230260112922474,0.3600449760899025,-22.96812911013585,-22.680606664349067,-22.248717806884443
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,6,true,0.28945246484440545,0.7194113032514053,7200.7840305,7200.352999925613,907.9758591999882,907.9758591999882,5365.400753899971,10.126344000000145,6834.254478900035,0.05419350000000167,1.8506695000002285,545.7690262999998,356.8017398999995,356.8017398999995,83043,27022,83285,110307,92851,39010,false,true,1.1426480026889472,0.7490351869490177,0.3635672608736762,-22.96812911013585,-22.678676645291443,-22.248717806884443
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,8,true,0.29971793606222974,0.7194113032514053,7200.4578988,7200.036000013351,1055.5971712000166,1055.5971712000166,5098.46325569998,11.883474499999972,6784.715841000069,0.060232200000001734,2.1830340000002826,613.6133872000146,404.7664236999964,404.7664236999964,93288,29302,98182,127484,104579,45691,false,true,1.1786494556070437,0.7746263951393887,0.3827565764804213,-22.96812911013585,-22.66841117407362,-22.248717806884443
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,10,true,0.3168752158482704,0.7194113032514053,7201.0333863,7200.039999961853,1258.9517421000155,1258.9517421000155,4667.631768500007,12.815115500000008,6697.779222199982,0.06732550000000463,2.2968285000003563,751.4734689000011,490.3677584000068,490.3677584000068,105580,43048,107020,150068,117229,53713,false,true,1.1832571902431326,0.8011011920671552,0.4651347071399812,-22.96812911013585,-22.651253894287578,-22.248717806884443
