data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,15,DDGFactplus,general,dual,none,none,none,simple,,true,0.0,0.27699167275076775,22.464744,4.539000034332275,9.329675800000004,9.331004900000002,0.0,0.018735899999999993,9.3878351,3.540000000000004e-5,0.0035275000000000033,0.03126849999999998,1.789120199999998,1.789120199999998,182,279,191,470,245,117,true,false,0.3443699628417143,0.26913578233761126,NaN,-30.96077508210182,-30.96077508210182,-30.68378340935105
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,1,true,0.0,0.18772141900213057,55.5686379,49.14100003242493,3.4963237000000023,3.4963237000000023,40.78091970000005,0.11970509999999994,50.430659899999974,0.0002751000000000003,0.01863260000000001,5.999488799999994,4.498434100000006,4.498434100000006,439,975,335,1310,669,224,true,false,0.44208508468310015,0.2356077812797115,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,2,true,0.0,0.18772141900213057,39.9375063,39.64300012588501,6.584496100000001,6.584496100000001,24.817999300000007,0.13187129999999997,37.14655469999996,0.0003278000000000011,0.024337500000000012,5.577600899999995,2.5542553999999975,2.5542553999999975,565,1109,352,1461,915,419,true,false,0.4594239923914891,0.2572816350339207,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,4,true,0.0,0.18772141900213057,36.8085026,36.507999897003174,9.3856339,9.3856339,17.38852660000001,0.15190319999999988,33.513905400000034,0.00035670000000000233,0.029006700000000062,6.5379948999999975,3.022651199999997,3.022651199999997,702,1148,447,1595,1181,622,true,false,0.4612405189663136,0.2877000376716667,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,6,true,0.0,0.18772141900213057,28.3461373,28.043999910354614,9.788479600000002,9.788479600000002,8.928891200000004,0.1534992000000002,25.158243300000034,0.00036900000000000236,0.0321407,6.229364400000009,2.900114000000002,2.900114000000002,684,857,375,1232,1201,622,true,false,0.7278185745383006,0.31695938532731555,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,8,true,0.0,0.18772141900213057,22.8913449,22.61899995803833,8.132551099999993,8.132551099999993,6.971597799999998,0.2177603999999999,20.305907999999977,0.00027880000000000103,0.03489460000000004,4.941527699999997,2.352345100000002,2.352345100000002,539,844,341,1185,947,474,true,false,0.45066294991683264,0.2721226409760601,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,10,true,0.0,0.18772141900213057,17.5466161,17.25600004196167,6.675061899999996,6.675061899999996,4.209894300000001,0.12008059999999993,15.419983500000006,0.00019789999999999988,0.016051400000000004,4.381243700000005,1.9246288999999996,1.9246288999999996,418,760,311,1071,693,339,true,false,0.3858273600704045,0.24812663779887578,NaN,-30.96077508210182,-30.96077508210182,-30.773053663099688
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,1,true,0.0,0.19750364940437493,54.5196973,53.894999980926514,1.7932983,1.7932983,47.31593389999999,0.09848310000000005,52.64407599999993,0.00024209999999999984,0.022759300000000007,3.424411499999999,1.683096399999999,1.683096399999999,361,966,452,1418,507,201,true,false,0.37769876789105794,0.20459727117479756,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,2,true,0.0,0.19750364940437493,34.3214446,33.92400002479553,3.8316560999999987,3.8316560999999987,25.301848599999975,0.08444419999999991,32.5501856,0.0002054,0.014453300000000021,3.306534800000002,1.568789,1.568789,347,863,298,1161,527,238,true,false,0.3618574857622967,0.22830424890761897,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,4,true,0.0,0.19750364940437493,28.4816721,28.055999994277954,6.247031600000002,6.247031600000002,16.15957500000001,0.09656070000000003,26.387411599999997,0.0002190000000000001,0.03217799999999999,3.8531957000000023,1.869020900000002,1.869020900000002,432,1028,317,1345,679,322,true,false,0.3842269312646138,0.2419783711977989,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,6,true,0.0,0.19750364940437493,25.6325284,24.745999813079834,7.293563899999997,7.293563899999997,10.911636199999997,0.12072379999999999,22.784437499999978,0.00024950000000000054,0.025938599999999968,4.4189786,2.1304657000000016,2.1304657000000016,463,986,319,1305,767,411,true,false,0.38787292973317733,0.25204526152022927,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,8,true,0.0,0.19750364940437493,23.2769624,22.859999895095825,6.580145799999999,6.580145799999999,10.761071600000005,0.08858790000000005,21.237635799999982,0.00020980000000000003,0.016828200000000012,3.768082500000003,1.8103213999999996,1.8103213999999996,410,861,317,1178,665,329,true,false,0.38990606717821663,0.24663914225284886,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,10,true,0.0,0.19750364940437493,23.1199421,22.736999988555908,6.794233500000005,6.794233500000005,10.0523112,0.09618359999999997,20.930372500000036,0.0002298000000000002,0.02701829999999999,3.9510662000000045,1.9893456999999997,1.9893456999999997,452,867,290,1157,723,378,true,false,0.38887430088342256,0.24810193854912282,NaN,-30.96077508210182,-30.96077508210182,-30.763271432697444
63,32,16,15,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.0,0.18418136814096542,34.1510552,33.84400010108948,1.8969748000000002,1.8969748000000002,27.294944100000006,0.07092359999999999,32.517809899999996,0.00020079999999999992,0.022643499999999945,3.242805700000002,1.4188774999999991,1.4188774999999991,323,584,309,893,505,142,true,false,0.35852188305329236,0.22163110933286545,NaN,-30.96077508210182,-30.96077508210182,-30.776593713960853
