data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,9,4,3,DDGFactplus,general,dual,none,none,none,simple,,false,0.0,0.3258487201994402,18.9964261,2.190999984741211,6.9926738,6.9926738,0.0,0.0003148,6.993974099999997,2.7999999999999994e-6,0.00019449999999999998,0.0008162,1.5748574000000002,1.5756736000000002,12,6,8,14,21,24,true,false,0.34974760664540927,0.29058956540217357,NaN,-6.155925755431102,-6.155925755431102,-5.830077035231662
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,1,false,0.0,0.18526330112889067,21.5612877,14.226999998092651,16.6793945,0.0597728,16.6196217,0.042929,16.7266442,6.2e-6,0.00013360000000000005,0.0,4.638152700000002,4.638152700000002,10,4,5,9,21,6,true,false,0.1383022558283793,0.07302144650098959,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,2,false,0.0,0.18526330112889067,8.9460229,6.269000053405762,8.7677856,0.1015639,8.6662217,0.0006194,8.768755200000001,6.899999999999999e-6,0.00017590000000000005,0.0,0.1740026,0.1740026,13,4,8,12,29,13,true,false,0.45438525453242473,0.09385948052589736,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,4,false,0.0,0.18526330112889067,8.4650102,6.19100022315979,8.368350199999998,0.1202141,8.2481361,0.000597,8.3693282,5.399999999999999e-6,0.00015120000000000007,0.0,0.09292560000000001,0.09292560000000001,17,7,6,13,33,16,true,false,0.3703591641094519,0.16670410193161095,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,6,false,0.0,0.18526330112889067,4.5075012,2.6019999980926514,4.402555899999999,0.1531131,4.2494428,0.0008012999999999998,4.4038077,6.099999999999999e-6,0.0001779999999999999,0.0,0.10072830000000002,0.10072830000000002,24,6,7,13,45,30,true,false,0.3703591641094519,0.18678449866073488,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,8,false,0.0,0.18526330112889067,3.0177046,0.5079998970031738,2.8619921,0.270535,2.5914571,0.0010766,2.8636926999999988,8.399999999999998e-6,0.00026619999999999997,0.0,0.14950470000000002,0.14950470000000002,28,7,7,14,51,38,true,false,0.38409473724861076,0.1889797920042989,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,10,false,0.0,0.18526330112889067,2.6331931,0.5099999904632568,2.4933409999999987,0.22196739999999995,2.2713736,0.0010410999999999999,2.4948973,7.599999999999998e-6,0.00022480000000000007,0.0,0.13476300000000002,0.13476300000000002,28,7,7,14,51,38,true,false,0.38409473724861076,0.1889797920042989,NaN,-6.155925755431102,-6.155925755431102,-5.970662454302212
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,1,false,0.0,0.18530892004746669,6.8029678,5.627000093460083,6.612224500000002,0.017935,6.5942895,0.00046669999999999996,6.612809499999999,7.099999999999999e-6,0.0001244,0.0,0.1541595,0.1541595,11,0,6,6,25,10,true,false,0.11811497829591922,0.06216582138928946,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,2,false,0.0,0.18530892004746669,3.3399841,2.9700000286102295,3.2654039999999993,0.07623920000000001,3.1891647999999995,0.00045189999999999987,3.2660938999999996,4.499999999999999e-6,0.00014040000000000002,0.0,0.07008790000000001,0.07008790000000001,11,2,7,9,25,8,true,false,0.2090932606548801,0.1061710893816834,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,4,false,0.0,0.18530892004746669,3.9901271,3.6570000648498535,3.9054635999999996,0.1062152,3.7992484,0.0005435999999999998,3.9063317000000004,6.200000000000002e-6,0.00014679999999999994,0.0,0.08015049999999999,0.08015049999999999,15,6,1,7,31,14,true,false,0.37259966634280683,0.1890299495355817,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,6,false,0.0,0.18530892004746669,1.86744,1.6180000305175781,1.7432803000000003,0.20130320000000004,1.5419771000000002,0.0008979000000000002,1.7447813000000005,7.899999999999997e-6,0.00022249999999999982,0.0,0.11922470000000002,0.11922470000000002,24,6,4,10,45,26,true,false,0.37259966634280683,0.19357905088165225,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,8,false,0.0,0.18530892004746669,1.0718542,0.8250000476837158,0.9248415999999998,0.22600979999999998,0.6988318,0.0010566999999999998,0.9265374000000002,9.1e-6,0.00025659999999999995,0.0,0.14140429999999998,0.14140429999999998,28,7,4,11,51,34,true,false,0.37259966634280683,0.18612532851783942,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,10,false,0.0,0.18530892004746669,0.6969872,0.44900012016296387,0.5702778999999999,0.20396320000000004,0.3663147000000001,0.0009393,0.5717744000000001,7.299999999999998e-6,0.00022039999999999985,0.0,0.1218321,0.1218321,28,7,4,11,51,34,true,false,0.37259966634280683,0.18612532851783942,NaN,-6.155925755431102,-6.155925755431102,-5.970616835383636
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,1,false,0.0,0.18529127440776705,14.9443297,13.641999959945679,14.7565647,0.018941799999999998,14.7376229,0.0007182,14.757407300000002,7.2999999999999996e-6,0.00014059999999999992,0.0,0.15373559999999997,0.15373559999999997,11,0,6,6,25,10,true,false,0.11810071209194817,0.06236800301318528,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,2,false,0.0,0.18529127440776705,11.0595255,10.030999898910522,10.988245900000004,0.0719745,10.916271400000005,0.0006247,10.989118099999999,5.7000000000000005e-6,0.0001512999999999999,0.0,0.0676299,0.0676299,11,2,7,9,25,8,true,false,0.2388543955716571,0.10950671573151405,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,4,false,0.0,0.18529127440776705,10.1402689,9.113999843597412,10.0478608,0.1292276,9.918633199999999,0.0007032000000000001,10.048968799999999,7.3e-6,0.00016659999999999993,0.0,0.0884571,0.0884571,15,6,1,7,31,14,true,false,0.37261343066905805,0.18896622876785876,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,6,false,0.0,0.18529127440776705,6.1222128,4.757999897003174,5.9879456,0.23546750000000005,5.752478099999999,0.0013700999999999997,5.9900092,7.899999999999997e-6,0.0002663,0.0,0.12704400000000002,0.12704400000000002,24,6,4,10,45,26,true,false,0.37261343066905805,0.19342315827594964,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,8,false,0.0,0.18529127440776705,2.2196366,0.9879999160766602,2.0715448,0.27443609999999996,1.7971087,0.0012418,2.0734326000000003,8.899999999999998e-6,0.0002569999999999999,0.0,0.14126459999999996,0.14126459999999996,28,7,4,11,51,34,true,false,0.37261343066905805,0.18540385566385298,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
63,9,4,3,DDGFactplusUpsilon,general,dual,ppa_full,root,node,simple,10,false,0.0,0.18529127440776705,1.9579519,0.9089999198913574,1.8399977000000003,0.21616609999999997,1.6238316000000004,0.0013683000000000002,1.8418975999999998,8.299999999999998e-6,0.00024099999999999973,0.0,0.1124473,0.1124473,28,7,4,11,51,34,true,false,0.37261343066905805,0.18540385566385298,NaN,-6.155925755431102,-6.155925755431102,-5.970634481023335
