,,,Gap,,,,Runtime,,,,,Var_fixing,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon,spec,ddgfact,ddgfact_plus,upsilon,ls,spec,ddgfact,ddgfact_plus,upsilon_simple,upsilon_strong,upsilon_dominance
63,2,1,0.285520182,0.216724372,0.092021849,1.454679685,8.8216755,0.6646232,28.9331061,1.1710493,0.0185096,9,38,15,15,1
63,3,2,0.506849029,0.377696443,0.212794811,2.628504284,0.4448273,0.2642889,36.8879876,0.1263435,0.0002164,0,7,0,0,1
63,4,3,0.565019912,0.407401109,0.226582788,3.765417299,0.0442752,0.0328482,83.3840297,0.1391746,0.0001853,0,9,0,0,1
63,5,4,0.613817988,0.441791624,0.252092781,4.312918242,0.0838476,0.0412136,116.0292911,0.1769379,0.0002022,0,7,0,0,1
63,6,5,0.660180605,0.471190405,0.2855278,4.807601545,0.0655604,0.0335631,89.4370932,0.193959,0.0002132,0,2,0,0,1
63,7,6,0.64320212,0.43374552,0.259678155,5.186903521,0.0708593,0.047091,60.439648,0.1792758,0.0001815,0,4,0,0,1
63,8,7,0.725919637,0.496685641,0.321700179,5.520773693,0.1349984,0.0474469,211.1907958,0.1906385,0.0002165,0,0,0,0,1
63,9,8,0.769465608,0.520278489,0.347273676,5.825502913,0.0766875,0.0663249,189.7347719,0.2717948,0.0001791,0,0,0,0,1
63,10,9,0.786854662,0.517189516,0.343494708,6.046134868,0.0782631,0.0508608,209.2623128,0.2391018,0.0001467,0,0,0,0,1
63,11,10,0.841737301,0.554865917,0.380148178,6.247254927,0.0620278,0.053183,194.9127398,0.2464692,0.0001756,0,0,0,0,1
