,,,Gap,,,,Runtime,,,,,Var_Fixing,,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon,spec,ddgfact,ddgfact_plus,upsilon,ls,spec,ddgfact,plus_dual,plus_primal,plus_union,upsilon_dual,upsilon_primal,upsilon_union
63,2,1,0.285520354,0.216724234,0.092029271,1.454679685,0.559804,0.4863559,13.8130915,0.4927956,0.0308768,9,38,38,38,12,12,12
63,3,2,0.506849192,0.377696304,0.212802351,2.628504284,0.4056065,0.306368,26.5583949,0.1625418,0.0004417,0,7,7,7,0,0,0
63,4,3,0.565020057,0.407400961,0.226585018,3.765417299,0.0394328,0.0860896,58.8150561,0.1772564,0.0003028,0,9,9,9,0,0,0
63,5,4,0.613818122,0.44179147,0.2520879,4.312918242,0.0423408,0.0483834,62.4894891,0.1875925,0.0002413,0,7,7,7,0,0,0
63,6,5,0.660180752,0.471190262,0.285526965,4.807601545,0.0215883,0.0444324,34.0837947,0.173333,0.0002754,0,2,2,2,0,0,0
63,7,6,0.643202269,0.433745394,0.259699804,5.186903521,0.0570933,0.0248096,27.2520183,0.198829,0.0002401,0,4,4,4,0,0,0
63,8,7,0.725919568,0.496685522,0.32170288,5.520773693,0.0307264,0.0264912,67.8426798,0.2279019,0.0002885,0,0,0,0,0,0,0
63,9,8,0.769465744,0.520278377,0.347340674,5.825502913,0.0368888,0.0316179,28.9757098,0.2903049,0.0003917,0,0,0,0,0,0,0
63,10,9,0.7868548,0.517189411,0.343488881,6.046134868,0.0695077,0.0312556,57.8547403,0.2792112,0.0003086,0,0,0,0,0,0,0
63,11,10,0.841737435,0.554865817,0.380139948,6.247254927,0.0660761,0.0362438,70.65827,0.284519,0.0002519,0,0,0,0,0,0,0
