n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact,n_fixed_ddgfact_plus,n_fixed_ddgfact_upsilon_bfgs,n_fixed_ddgfact_plus_upsilon_bfgs,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,1,1,-2.0027465907901387e-8,2.3231050882976945e-7,8.518111904720627e-8,1.7925460382232636,8.508102,0.6325184,4.8976051,1.3187754,0.0193083,61.0,61.0,61.0,61.0,-1.3625778345025745,-1.3625778545300404,-1.3625776021920657,-1.3625777493214555,0.42996820372068917,0.031745640422217065,0.03174292057308366,0.03174302057308366,1.0000000000287557e-7,0.9997891285555771,1.000252842242398,0.000816600593542581
63,2,2,0.12142879906426218,0.0930623723038555,0.030845989754788583,3.0514745844493296,0.3719339,0.2859952,13.2808371,0.1346579,0.0006254,50.0,53.0,45.0,47.0,-3.0907464971576726,-2.9693176980934104,-2.997684124853817,-3.059900507402884,-0.03927191270834318,0.031745640422217065,0.05028730475600821,0.050287404756008215,1.0000000000287557e-7,0.4403429058711621,2.365696464238372,2.640409114794938
63,3,3,0.1236584482443357,0.08961143155699958,0.02267887553846304,4.187102006981752,0.063145,0.0378939,15.0042889,0.1417952,0.0003169,47.0,51.0,35.0,43.0,-4.841578301439288,-4.717919853194952,-4.751966869882288,-4.818899425900825,-0.6544762944575357,0.031745640422217065,0.049746941499365635,0.04974704149936564,1.0000000000287557e-7,0.47642179933702955,2.630375145478163,2.852360395264332
63,4,4,0.13675382410478498,0.10182929209532254,0.03077307833058729,4.728428247116809,0.0592211,0.0521121,20.6496202,0.1560117,0.0006287,46.0,49.0,25.0,41.0,-6.625441242925261,-6.488687418820476,-6.523611950829938,-6.594668164594673,-1.8970129958084518,0.031745640422217065,0.04923987736452855,0.04923997736452855,1.0000000000287557e-7,0.45748321315015805,2.5469873345953222,2.9574503641580794
63,5,5,0.16496773212042015,0.12654402662773911,0.04402612785502669,5.222797890081224,0.0710078,0.0612162,17.4260095,0.1908282,0.0006064,43.0,45.0,18.0,25.0,-8.444189404338342,-8.279221672217922,-8.317645377710603,-8.400163276483315,-3.2213915142571183,0.031745640422217065,0.05058675614946647,0.05058685614946647,1.0000000000287557e-7,0.4975484689204681,2.73821000369641,2.9068695671044127
63,6,6,0.13263459931766164,0.08191766455573557,0.002826178871469409,5.592713968272531,0.0951587,0.0597073,79.4015635,0.1653704,0.0004559,42.0,45.0,0.0,13.0,-10.270091318694192,-10.13745671937653,-10.188173654138456,-10.267265139822722,-4.6773773504216605,0.031745640422217065,0.049677065699348114,0.049677165699348116,1.0000000000287557e-7,0.5344725520137266,2.739961308240167,2.876620938076139
63,7,7,0.19294356026837,0.1325462093809957,0.04557039385629835,5.915814625882951,0.072448,0.0562518,299.6484369,0.1828164,0.0003329,36.0,41.0,0.0,9.0,-12.244900402899868,-12.051956842631498,-12.112354193518872,-12.19933000904357,-6.329085777016917,0.031745640422217065,0.049906043240027564,0.04990614324002757,1.0000000000287557e-7,0.5372390575342663,2.5728579142459935,2.757832532744653
63,8,8,0.23234302547461283,0.16453272963450516,0.06091798751847577,6.225893710449217,0.0627329,0.0670747,80.4906676,0.2234038,0.0001438,27.0,36.0,0.0,10.0,-14.236856202389262,-14.00451317691465,-14.072323472754757,-14.175938214870786,-8.010962491940045,0.031745640422217065,0.05087740841580431,0.05087750841580431,1.0000000000287557e-7,0.5588483414730067,2.481852266759742,2.7095782277063596
63,9,9,0.24301381379678233,0.16525197431423422,0.04577993779292555,6.446038081908149,0.0659348,0.0613444,28.6988468,0.2719763,0.0001392,24.0,33.0,0.0,2.0,-16.233502855334276,-15.990489041537494,-16.06825088102004,-16.18772291754135,-9.787464773426127,0.031745640422217065,0.05002665158735876,0.05002675158735876,1.0000000000287557e-7,0.5857171605063125,2.484396607705959,2.7151834414943354
63,10,10,0.28925431604203666,0.19953941920862306,0.07050958784710915,6.642257488589408,0.0848967,0.0551973,22.9327892,0.3204907,0.0001317,13.0,29.0,0.0,0.0,-18.298586418579813,-18.009332102537776,-18.09904699937119,-18.228076830732704,-11.656328929990405,0.031745640422217065,0.04970923808847816,0.04970933808847816,1.0000000000287557e-7,0.5897665085461209,2.406292527816704,2.5924950283980017
63,11,11,0.31569830359649487,0.2162740167276631,0.07381139809226056,6.757021150200455,0.0835687,0.0512039,111.3338627,0.3371599,0.0006472,11.0,23.0,0.0,0.0,-20.36841572149969,-20.052717417903196,-20.152141704772028,-20.29460432340743,-13.611394571299236,0.031745640422217065,0.04912451169152281,0.04912461169152281,1.0000000000287557e-7,0.5948756455897226,2.4835932445935653,2.5854425559614738
63,12,12,0.3374732208180937,0.22788275173911998,0.07680676667534314,6.866114059214816,0.0838161,0.0588901,160.1333276,0.4064088,0.0003546,7.0,20.0,0.0,0.0,-22.462833718445356,-22.125360497627263,-22.234950966706236,-22.386026951770013,-15.59671965923054,0.031745640422217065,0.04875480071387395,0.04875490071387395,1.0000000000287557e-7,0.6109896306022031,2.4542468487635727,2.713370092711673
63,13,13,0.3480194212351755,0.23035258674614667,0.0696555543963413,6.911502389170579,0.0955063,0.0627708,172.2986506,0.4648671,0.0001337,7.0,17.0,0.0,0.0,-24.57038705822464,-24.222367636989464,-24.340034471478493,-24.5007315038283,-17.65888466905406,0.031745640422217065,0.04930917907997885,0.049309279079978854,1.0000000000287557e-7,0.5906837197119643,2.398304925675461,2.6414242058963797
63,14,14,0.3633702059481969,0.23452935878738046,0.06290979384274209,6.9508297274748685,0.074302,0.0470763,116.0577669,0.5002483,0.0003329,7.0,15.0,0.0,0.0,-26.69797832321542,-26.334608117267223,-26.46344896442804,-26.635068529372678,-19.74714859574055,0.031745640422217065,0.04961222832722109,0.049612328327221095,1.0000000000287557e-7,0.5986988416012985,2.2355896616764213,2.6617656570263084
63,15,15,0.3658173714105004,0.22911763897410253,0.05082055926949636,6.9965943162691175,0.0840209,0.0559498,113.4566436,0.5287214,0.0002912,4.0,14.0,0.0,0.0,-28.837883858381105,-28.472066486970604,-28.608766219407002,-28.787063299111608,-21.841289542111987,0.031745640422217065,0.049505834149331046,0.04950593414933105,1.0000000000287557e-7,0.5922899151308855,2.358751548643371,2.7869229890183793
63,16,16,0.3780306675288472,0.23774031056355227,0.055818881807510934,7.011023660740683,0.097942,0.0494061,152.9623927,0.586265,0.0001629,4.0,12.0,0.0,0.0,-31.0036024364502,-30.625571768921354,-30.76586212588665,-30.94778355464269,-23.992578775709518,0.031745640422217065,0.05005032136378461,0.05005042136378461,1.0000000000287557e-7,0.5987312899915718,2.3835376724891706,2.644980704104429
63,17,17,0.37237653529949455,0.22465066360245345,0.045796508992879126,6.979359529992124,0.0864895,0.0493542,235.9525874,0.7055545,0.0001328,3.0,12.0,0.0,0.0,-33.16971633840987,-32.797339803110376,-32.94506567480742,-33.12391982941699,-26.190356808417746,0.031745640422217065,0.051109123596803,0.051109223596803005,1.0000000000287557e-7,0.5963803396575643,2.3367143630707043,2.5846510903883915
63,18,18,0.38167035965442153,0.22504163031396018,0.05570092184473907,6.919242391525515,0.088,0.0532269,183.3947148,0.8207642,0.0001377,1.0,11.0,0.0,0.0,-35.37122502756743,-34.989554667913005,-35.146183397253466,-35.31552410572269,-28.45198263604191,0.031745640422217065,0.051061867898085034,0.05106196789808504,1.0000000000287557e-7,0.6271893982483783,2.2950227934454293,2.473259833365127
63,19,19,0.37612509175401243,0.21228396941661032,0.04705687216229393,6.84879760628872,0.0809218,0.0490536,176.0064694,0.9890826,0.0004473,1.0,11.0,0.0,0.0,-37.58140231711479,-37.205277225360774,-37.369118347698176,-37.53434544495249,-30.732604710826067,0.031745640422217065,0.04883460482737942,0.04883470482737942,1.0000000000287557e-7,0.6543737161398854,2.31275293485404,2.254610569645333
63,20,20,0.4029892002472266,0.2345077472664414,0.07379588512996094,6.818316654885415,0.069769,0.063348,67.3866616,1.2183778,0.0003171,0.0,10.0,0.0,0.0,-39.85027861665515,-39.447289416407926,-39.61577086938871,-39.77648273152519,-33.03196196176974,0.031745640422217065,0.048895168845160014,0.04889526884516002,1.0000000000287557e-7,0.6690132608230449,2.352644952557322,2.1678972238881955
