n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,bfgs_minus_one_step_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_one_step,lambda_min_upsilon_one_step,feasibility_slack_upsilon_one_step,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_one_step,gamma_max_upsilon_one_step,theta_norm_upsilon_one_step,theta_norm_inf_upsilon_one_step,one_step_cache_size,one_step_num_evals,one_step_subproblem_status,one_step_subproblem_primal_status,one_step_subproblem_acceptable_status,one_step_subproblem_residual_norm_inf
63,6,1,0.6815858667771566,0.5490010784839117,0.3628843190841263,0.3625833925043133,0.00030092657981295456,0.8660230024467304,0.479984,0.389989,8.4890453,3.7255832,0.4291152,0.0170392,-0.43605479872604114,0.24553106805111552,0.11294627975787057,-0.07317047964191487,-0.07347140622172782,0.42996820372068917,0.031745640422217065,0.05004522824699394,0.050045328246993946,1.0000000000287557e-7,0.05058725747333862,0.050587357473338625,1.0000000000287557e-7,0.6738112073942532,1.7571954617928909,1.9728065085462867,0.5637190504806476,0.6978174465367873,1.7203445862399793,2.008943014533956,0.5425246115970134,215,215,SLOW_PROGRESS,FEASIBLE_POINT,true,0.724769885953262
63,7,2,1.1173004636119015,0.886575826877176,0.5802695503571524,0.5802846315261947,-1.508116904225254e-5,1.7118384140472562,0.2122204,0.2020432,14.2630433,7.0692628,0.1643044,0.0001466,-1.7511103267555994,-0.6338098631436978,-0.8645344998784235,-1.170840776398447,-1.1708256952294047,-0.03927191270834318,0.031745640422217065,0.04945515403203681,0.049455254032036815,1.0000000000287557e-7,0.04915294616384648,0.049153046163846484,1.0000000000287557e-7,0.7230731884887626,1.727927957235757,1.8843126223034172,0.5469229780982603,0.7078978997916974,1.7760036979890572,1.865045924902368,0.5743657267688562,175,175,SLOW_PROGRESS,FEASIBLE_POINT,true,0.6074033304513992
63,8,3,1.5606767590532042,1.217036943381956,0.797095037311152,0.7970501987693495,4.483854180259428e-5,2.7615561765710774,0.0234206,0.0138532,14.5182182,6.1328647,0.1708595,0.0001593,-3.416032471028613,-1.8553557119754087,-2.198995527646657,-2.618937433717461,-2.6189822722592635,-0.6544762944575357,0.031745640422217065,0.04906427411058138,0.049064374110581385,1.0000000000287557e-7,0.04887880856945977,0.04887890856945977,1.0000000000287557e-7,0.7243604226620723,1.7604685031200553,1.8207680022714512,0.5655799685810466,0.7251041916385057,1.6159545034000427,1.787830941567541,0.4799258058659696,144,144,SLOW_PROGRESS,FEASIBLE_POINT,true,0.5201907275134859
63,9,4,1.8261328164266666,1.3808743996003288,0.915646676354859,0.9154124482918249,0.00023422806303408095,3.2387423149539396,0.0264636,0.018175,16.0088186,7.8655642,0.2266705,0.0001571,-5.1357553107623914,-3.309622494335725,-3.7548809111620627,-4.2201086344075325,-4.220342862470567,-1.8970129958084518,0.031745640422217065,0.04854785796021832,0.048547957960218324,1.0000000000287557e-7,0.0485176257447377,0.0485177257447377,1.0000000000287557e-7,0.7548395303541147,1.566331983336949,1.7799727725272905,0.44873656956899827,0.7376176550672681,1.651764898197293,1.7490710200669184,0.5018443515313725,161,161,SLOW_PROGRESS,FEASIBLE_POINT,true,0.5642002745103682
63,10,5,2.0089674003390563,1.4889846149968697,1.0011744913454566,0.9997483891869177,0.0014261021585388889,3.7045888588676092,0.0333758,0.03681,13.5383068,5.670867,0.2222411,0.0001492,-6.925980373124728,-4.917012972785671,-5.436995758127858,-5.924805881779271,-5.92623198393781,-3.2213915142571183,0.031745640422217065,0.04757759815232017,0.04757769815232017,1.0000000000287557e-7,0.04758265106166151,0.047582751061661516,1.0000000000287557e-7,0.7664305221108375,1.5636511861670468,1.6289409031248334,0.4470235905015433,0.7798695597028042,1.601536061357323,1.6226586128169447,0.4709632070519824,148,148,SLOW_PROGRESS,FEASIBLE_POINT,true,0.6072387720522543
63,11,6,2.1738498046825496,1.5767622940757047,1.0671222557949864,1.0650868436029155,0.002035412192070929,4.104969713603816,0.0279699,0.0252173,16.3631822,10.5205953,0.2409782,0.0001498,-8.782347064025476,-6.6084972593429265,-7.2055847699497715,-7.71522480823049,-7.717260220422561,-4.6773773504216605,0.031745640422217065,0.04759605286837494,0.047596152868374944,1.0000000000287557e-7,0.04791966835269733,0.04791976835269733,1.0000000000287557e-7,0.7699209969287226,1.581402548944188,1.6152806098764065,0.45831214248100416,0.7757165166834329,1.6348119946348434,1.568384197567257,0.4915278097466694,190,190,SLOW_PROGRESS,FEASIBLE_POINT,true,0.6629643669494847
63,12,7,2.326996591799775,1.65413733644451,1.1354094901976488,1.1282378268507376,0.007171663346911217,4.380564924477704,0.034747,0.0294876,19.5840689,10.2425912,0.22352,0.0001523,-10.70965070149462,-8.382654109694846,-9.05551336505011,-9.574241211296972,-9.581412874643883,-6.329085777016917,0.031745640422217065,0.04722562222404876,0.04722572222404876,1.0000000000287557e-7,0.046821035492362134,0.04682113549236214,1.0000000000287557e-7,0.8032564827734536,1.5332882334299833,1.5005994155276048,0.42741460141392384,0.8076957777200181,1.6109579289417204,1.54541308200171,0.47682898898215614,173,173,SLOW_PROGRESS,FEASIBLE_POINT,true,0.7080217693996489
63,13,8,2.436327038781398,1.6975260028137704,1.1656809759280016,1.15945130958141,0.0062296663465915,4.651988430728089,0.0469315,0.0284304,20.9078543,13.3336883,0.3281068,0.0001471,-12.662950922668134,-10.226623883886736,-10.965424919854364,-11.497269946740133,-11.503499613086724,-8.010962491940045,0.031745640422217065,0.04776391254597519,0.04776401254597519,1.0000000000287557e-7,0.047209242881193936,0.04720934288119394,1.0000000000287557e-7,0.7716536242110417,1.5473864905161405,1.5372755948338832,0.43656737265445805,0.8036803127158195,1.6314943097548984,1.5266133253762766,0.4894963493068161,207,207,SLOW_PROGRESS,FEASIBLE_POINT,true,0.6712112814625405
63,14,9,2.5373963697486257,1.7427682068220776,1.203279834050953,1.193028056130455,0.010251777920498029,4.878523908881128,0.0470429,0.0327748,22.4540185,15.453468,0.3191322,0.0001442,-14.665988682307255,-12.128592312558629,-12.923220475485177,-13.462708848256302,-13.4729606261768,-9.787464773426127,0.031745640422217065,0.04779738709623142,0.047797487096231425,1.0000000000287557e-7,0.047164408595444934,0.04716450859544494,1.0000000000287557e-7,0.8139620083501213,1.5903648800976613,1.4950863424706038,0.4639634742427889,0.8271893789190571,1.5611861756151384,1.4658891372754015,0.44544590131146783,221,221,SLOW_PROGRESS,FEASIBLE_POINT,true,0.800935778778167
63,15,10,2.6018002670752427,1.7568807894033185,1.21054854319266,1.19195958675283,0.01858895643982983,5.015652681811954,0.0560715,0.0341566,19.8020009,13.6472314,0.3876488,0.0001437,-16.67198161180236,-14.070181344727116,-14.91510082239904,-15.461433068609699,-15.480022025049529,-11.656328929990405,0.031745640422217065,0.047630258119815264,0.047630358119815266,1.0000000000287557e-7,0.04748704377135987,0.047487143771359874,1.0000000000287557e-7,0.8152202315852521,1.5805059014154679,1.4865867761003801,0.4577449865580341,0.8317854438378113,1.6314244512338225,1.48874405622896,0.48945352965594296,215,215,SLOW_PROGRESS,FEASIBLE_POINT,true,0.7188349535940016
