n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact_dual,n_fixed_ddgfact_plus_dual,n_fixed_ddgfact_plus_primal,n_fixed_ddgfact_plus_union,n_fixed_ddgfact_plus_upsilon_bfgs_dual,n_fixed_ddgfact_plus_upsilon_bfgs_primal,n_fixed_ddgfact_plus_upsilon_bfgs_union,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,2,1,0.2855203538847346,0.21672423402435204,0.09321052831925813,1.4546796845492647,8.1194544,0.7354317,13.8643582,1.0724239,0.01735,9.0,38.0,38.0,38.0,16.0,16.0,16.0,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9315009525093174,0.42996820372068917,0.031745640422217065,0.05139257158169106,0.051392671581691064,1.0000000000287557e-7,0.592453834879142,1.7433265633857218,2.2330726008717425
63,3,1,0.40559367639079713,0.31036875138709363,0.13107703800259152,1.193666460566439,0.0079607,0.0061062,2.6384015,0.1335395,0.0002359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76369825684575,-0.35810458045495286,-0.45332950545865636,-0.6326212188431585,0.42996820372068917,0.031745640422217065,0.050361311545479015,0.05036141154547902,1.0000000000287557e-7,0.5993792745594488,1.7034092919404227,2.1219841960450174
63,4,1,0.5403975849666994,0.429798923609753,0.23258649039355966,1.0651161400785043,0.0089628,0.007144,1.9392863,0.133835,0.0003526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6351479363578152,-0.09475035139111573,-0.2053490127480622,-0.4025614459642555,0.42996820372068917,0.031745640422217065,0.051766157171575136,0.05176625717157514,1.0000000000287557e-7,0.6163652105793307,1.802013254638515,2.240437139888394
63,5,1,0.6053853751783853,0.4826863141445477,0.2880574029989215,0.9403161693975799,0.012324,0.0085443,1.9364784,0.2031708,0.000437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5103479656768907,0.09503740950149467,-0.027661651532342946,-0.22229056267796915,0.42996820372068917,0.031745640422217065,0.051270109425569255,0.05127020942556926,1.0000000000287557e-7,0.6413512097525101,1.8487244694162932,2.201802267830975
63,6,1,0.6815858667771566,0.5490010784839117,0.363562707949759,0.8660230024467304,0.0137776,0.0086466,2.2519605,0.164905,0.0002192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43605479872604114,0.24553106805111552,0.11294627975787057,-0.07249209077628216,0.42996820372068917,0.031745640422217065,0.05043702200176825,0.05043712200176825,1.0000000000287557e-7,0.6905001301602962,1.7511364507741607,2.0789219990567815
63,7,1,0.7401944220480897,0.6000720913956512,0.41023221480306665,0.7939203766532575,0.0098287,0.0073944,2.1929342,0.1604058,0.0002349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3639521729325684,0.37624224911552134,0.23611991846308283,0.04628004187049828,0.42996820372068917,0.031745640422217065,0.050030647620292544,0.05003074762029255,1.0000000000287557e-7,0.6934122850800019,1.7445354799779789,2.001156206389161
63,8,1,0.7905939804685242,0.6442217544519281,0.450505949028245,0.7307559278657795,0.0075337,0.0063327,2.625641,0.4422912,0.0004291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3007877241450903,0.48980625632343394,0.3434340303068378,0.14971822488315467,0.42996820372068917,0.031745640422217065,0.04918104786338741,0.04918114786338741,1.0000000000287557e-7,0.7213122165173274,1.7127762160218918,1.9228041631491488
63,9,1,0.841103077929563,0.6894285568316982,0.49703470177236386,0.68073235627712,0.0143679,0.0086245,2.8642956,0.2138732,0.0003267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25076415255643086,0.590338925373132,0.43866440427526737,0.24627054921593297,0.42996820372068917,0.031745640422217065,0.04887984607368972,0.04887994607368972,1.0000000000287557e-7,0.7323205866890936,1.7502819307589523,1.9538084027460083
63,10,1,0.892610306447692,0.736443917199979,0.5361724640011247,0.6414533150109731,0.0114798,0.0078123,2.513629,0.2100897,0.0001871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21148511129028397,0.681125195157408,0.5249588059096951,0.3246873527108407,0.42996820372068917,0.031745640422217065,0.05013313039294513,0.050133230392945136,1.0000000000287557e-7,0.7373931710061693,1.6732344330086715,1.877317125337362
63,11,1,0.9472283142492621,0.7872314157121899,0.5839615130153345,0.6130784359975929,0.0101639,0.0071132,2.3731904,0.2378395,0.0001803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1831102322769038,0.7641180819723583,0.6041211834352861,0.40085128073843074,0.42996820372068917,0.031745640422217065,0.04885555870448478,0.048855658704484786,1.0000000000287557e-7,0.7330636699271202,1.7205988965832353,1.88972410882496
63,12,1,0.9950243848296918,0.8317275182658846,0.629422455731697,0.5843741306547421,0.0079127,0.0064704,3.135681,0.3270953,0.0002377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1544059269340529,0.8406184578956389,0.6773215913318318,0.4750165287976441,0.42996820372068917,0.031745640422217065,0.049017940065522146,0.04901804006552215,1.0000000000287557e-7,0.7483148402950468,1.686571005816218,1.856093349388613
